x_resol,y_resol,w_values,h_values,target
640,480,85,85,153
640,480,89,89,157
640,480,86,86,153
640,480,86,86,156
640,480,81,81,155
640,480,79,79,159
640,480,72,72,170
640,480,73,73,174
640,480,70,70,174
640,480,71,71,170
640,480,70,70,178
640,480,68,68,179
640,480,68,68,176
640,480,67,67,176
640,480,65,65,178
640,480,66,66,181
640,480,65,65,183
640,480,68,68,186
640,480,64,64,188
640,480,64,64,191
640,480,65,65,191
640,480,65,65,194
640,480,64,64,194
640,480,65,65,196
640,480,64,64,197
640,480,62,62,198
640,480,60,60,199
640,480,60,60,201
640,480,61,61,202
640,480,61,61,203
640,480,61,61,205
640,480,61,61,207
640,480,61,61,209
640,480,61,61,210
640,480,62,62,212
640,480,60,60,213
640,480,62,62,214
640,480,64,64,214
640,480,63,63,215
640,480,63,63,213
640,480,65,65,213
640,480,66,66,211
640,480,65,65,207
640,480,65,65,205
640,480,66,66,204
640,480,67,67,201
640,480,68,68,200
640,480,68,68,198
640,480,68,68,196
640,480,70,70,196
640,480,69,69,193
640,480,73,73,192
640,480,72,72,190
640,480,73,73,188
640,480,73,73,187
640,480,73,73,187
640,480,74,74,186
640,480,76,76,184
640,480,72,72,184
640,480,75,75,183
640,480,74,74,182
640,480,75,75,180
640,480,74,74,178
640,480,75,75,176
640,480,79,79,175
640,480,80,80,175
640,480,78,78,174
640,480,79,79,173
640,480,82,82,173
640,480,83,83,171
640,480,82,82,170
640,480,86,86,169
640,480,84,84,168
640,480,82,82,167
640,480,83,83,167
640,480,78,78,164
640,480,78,78,166
640,480,133,133,103
640,480,131,131,100
640,480,129,129,102
640,480,129,129,100
640,480,132,132,98
640,480,132,132,94
640,480,135,135,104
640,480,129,129,106
640,480,132,132,98
640,480,132,132,101
640,480,130,130,100
640,480,131,131,100
640,480,129,129,99
640,480,127,127,103
640,480,130,130,100
640,480,131,131,99
640,480,134,134,100
640,480,134,134,101
640,480,137,137,99
640,480,134,134,96
640,480,137,137,101
640,480,136,136,96
640,480,135,135,97
640,480,135,135,97
640,480,136,136,102
640,480,139,139,94
640,480,140,140,94
640,480,137,137,93
640,480,139,139,93
640,480,137,137,93
640,480,140,140,92
640,480,143,143,93
640,480,142,142,94
640,480,144,144,90
640,480,147,147,87
640,480,150,150,82
640,480,152,152,79
640,480,160,160,77
640,480,165,165,75
640,480,161,161,72
640,480,173,173,68
640,480,181,181,66
640,480,186,186,65
640,480,182,182,63
640,480,185,185,62
640,480,188,188,56
640,480,203,203,52
640,480,214,214,52
640,480,219,219,49
640,480,223,223,49
640,480,235,235,46
640,480,242,242,46
640,480,259,259,46
640,480,262,262,44
640,480,271,271,43
640,480,285,285,41
640,480,285,285,40
640,480,294,294,40
640,480,303,303,54
640,480,315,315,35
640,480,350,350,34
640,480,351,351,32
640,480,362,362,31
640,480,376,376,31
640,480,376,376,32
640,480,386,386,28
640,480,404,404,27
640,480,407,407,26
640,480,410,410,26
640,480,416,416,25
640,480,414,414,25
640,480,421,421,24
640,480,421,421,23
