x_resol,y_resol,w_values,h_values,target
352,240,100,100,80
352,240,102,102,84
352,240,102,102,83
352,240,102,102,80
352,240,99,99,83
352,240,137,137,52
352,240,138,138,50
352,240,139,139,50
352,240,138,138,51
352,240,142,142,51
352,240,139,139,50
352,240,145,145,49
352,240,148,148,50
352,240,145,145,51
352,240,151,151,49
352,240,150,150,49
352,240,150,150,48
352,240,147,147,50
352,240,135,135,48
352,240,133,133,46
352,240,139,139,42
352,240,145,145,43
352,240,145,145,42
352,240,153,153,41
352,240,161,161,41
352,240,161,161,41
352,240,167,167,40
352,240,176,176,40
352,240,178,178,39
352,240,181,181,40
352,240,187,187,42
352,240,186,186,48
352,240,190,190,35
352,240,192,192,33
352,240,198,198,33
352,240,185,185,34
352,240,183,183,30
352,240,190,190,29
352,240,205,205,27
352,240,179,179,55
352,240,166,166,55
352,240,162,162,51
352,240,153,153,58
352,240,147,147,60
352,240,146,146,62
352,240,138,138,66
352,240,136,136,68
352,240,135,135,70
352,240,132,132,76
352,240,129,129,73
352,240,119,119,82
352,240,115,115,80
352,240,100,100,82
352,240,94,94,88
352,240,93,93,85
352,240,91,91,88
352,240,86,86,90
352,240,86,86,95
352,240,87,87,94
352,240,84,84,97
352,240,83,83,94
352,240,81,81,100
352,240,81,81,103
352,240,80,80,100
352,240,78,78,100
352,240,82,82,110
352,240,79,79,107
352,240,75,75,106
352,240,74,74,107
352,240,73,73,114
352,240,72,72,113
352,240,72,72,112
352,240,71,71,113
352,240,70,70,111
352,240,69,69,111
352,240,68,68,111
352,240,68,68,111
352,240,66,66,110
352,240,66,66,108
352,240,64,64,111
352,240,62,62,110
352,240,61,61,111
352,240,63,63,112
352,240,64,64,108
352,240,65,65,108
352,240,66,66,121
352,240,66,66,109
352,240,67,67,105
352,240,67,67,95
352,240,66,66,107
352,240,66,66,99
352,240,67,67,100
352,240,68,68,109
352,240,66,66,95
352,240,68,68,97
352,240,66,66,98
352,240,64,64,119
352,240,62,62,101
352,240,61,61,109
352,240,61,61,124
352,240,60,60,113
352,240,61,61,123
352,240,59,59,125
352,240,58,58,126
352,240,57,57,122
352,240,57,57,126
352,240,57,57,111
352,240,57,57,130
352,240,57,57,136
352,240,56,56,131
352,240,56,56,132
352,240,56,56,138
352,240,55,55,139
352,240,57,57,138
352,240,55,55,137
352,240,55,55,139
352,240,54,54,138
352,240,53,53,141
352,240,53,53,142
352,240,53,53,142
352,240,51,51,145
352,240,52,52,145
352,240,51,51,144
352,240,53,53,144
352,240,54,54,150
352,240,51,51,156
352,240,52,52,144
352,240,52,52,144
352,240,53,53,147
352,240,53,53,150
352,240,52,52,152
352,240,52,52,147
352,240,52,52,147
352,240,52,52,146
352,240,51,51,152
352,240,50,50,151
352,240,51,51,150
352,240,51,51,153
352,240,51,51,150
352,240,50,50,140
352,240,52,52,136
352,240,52,52,131
352,240,51,51,130
352,240,51,51,129
352,240,52,52,134
352,240,53,53,133
352,240,54,54,143
352,240,54,54,120
352,240,56,56,121
352,240,54,54,121
352,240,56,56,234
352,240,57,57,122
352,240,57,57,118
352,240,57,57,124
352,240,58,58,116
352,240,58,58,117
352,240,61,61,135
352,240,59,59,120
352,240,60,60,114
352,240,61,61,115
352,240,62,62,111
352,240,61,61,112
352,240,62,62,112
352,240,62,62,110
352,240,61,61,110
352,240,64,64,106
352,240,64,64,108
352,240,64,64,103
352,240,68,68,106
352,240,67,67,99
352,240,75,75,98
352,240,75,75,98
352,240,76,76,99
352,240,78,78,106
352,240,79,79,107
352,240,82,82,106
352,240,81,81,102
352,240,81,81,97
352,240,84,84,96
352,240,82,82,95
352,240,83,83,94
352,240,81,81,96
352,240,83,83,97
352,240,82,82,95
352,240,84,84,95
352,240,83,83,93
352,240,83,83,93
352,240,83,83,93
352,240,82,82,92
352,240,82,82,91
352,240,83,83,92
352,240,85,85,91
352,240,86,86,91
352,240,87,87,88
352,240,87,87,88
352,240,88,88,89
352,240,89,89,88
352,240,89,89,86
352,240,88,88,86
352,240,89,89,86
352,240,91,91,85
352,240,91,91,81
352,240,93,93,81
352,240,91,91,84
352,240,93,93,91
352,240,95,95,89
352,240,100,100,74
352,240,98,98,74
352,240,99,99,73
352,240,101,101,84
352,240,105,105,69
352,240,104,104,67
352,240,107,107,65
352,240,107,107,65
352,240,110,110,64
352,240,109,109,64
352,240,111,111,77
352,240,114,114,74
352,240,115,115,61
352,240,114,114,70
352,240,116,116,61
352,240,116,116,56
352,240,121,121,54
352,240,117,117,54
352,240,120,120,54
352,240,122,122,55
352,240,124,124,54
352,240,125,125,53
352,240,133,133,50
352,240,134,134,49
352,240,135,135,49
352,240,138,138,48
352,240,143,143,48
352,240,145,145,49
352,240,152,152,47
352,240,153,153,45
352,240,155,155,43
352,240,152,152,46
352,240,156,156,44
352,240,154,154,41
352,240,164,164,40
352,240,171,171,39
352,240,220,220,15
352,240,210,210,20
352,240,208,208,21
352,240,198,198,25
352,240,196,196,28
352,240,190,190,35
352,240,190,190,38
352,240,190,190,37
352,240,178,178,40
352,240,181,181,40
352,240,182,182,42
352,240,190,190,45
352,240,189,189,50
352,240,193,193,53
352,240,187,187,55
352,240,188,188,57
352,240,181,181,60
352,240,173,173,66
352,240,164,164,66
352,240,149,149,69
352,240,135,135,73
352,240,129,129,70
352,240,120,120,73
352,240,118,118,73
352,240,110,110,76
352,240,107,107,77
352,240,100,100,81
352,240,100,100,81
352,240,98,98,80
352,240,98,98,81
352,240,95,95,82
352,240,90,90,83
352,240,91,91,85
352,240,87,87,84
352,240,87,87,79
352,240,87,87,82
352,240,86,86,82
352,240,89,89,82
352,240,85,85,83
352,240,87,87,82
352,240,85,85,81
352,240,87,87,80
352,240,86,86,79
352,240,89,89,79
352,240,88,88,82
352,240,92,92,83
352,240,90,90,79
352,240,93,93,78
352,240,93,93,78
352,240,92,92,81
352,240,92,92,64
480,360,148,148,64
480,360,148,148,62
480,360,148,148,58
480,360,145,145,57
480,360,147,147,51
480,360,142,142,60
480,360,147,147,63
480,360,146,146,43
480,360,150,150,43
480,360,151,151,50
480,360,178,178,54
480,360,185,185,50
480,360,193,193,47
480,360,201,201,45
480,360,210,210,41
480,360,138,138,61
480,360,156,156,79
480,360,140,140,79
480,360,139,139,80
480,360,130,130,80
480,360,126,126,87
480,360,111,111,92
480,360,99,99,81
480,360,98,98,81
480,360,99,99,81
480,360,101,101,81
480,360,98,98,82
480,360,96,96,78
480,360,101,101,80
480,360,98,98,79
480,360,99,99,81
480,360,98,98,81
480,360,103,103,79
480,360,99,99,78
480,360,98,98,77
480,360,101,101,77
480,360,101,101,76
480,360,103,103,74
480,360,113,113,72
480,360,109,109,73
480,360,106,106,72
480,360,103,103,71
480,360,109,109,71
480,360,122,122,66
480,360,122,122,64
480,360,122,122,65
480,360,128,128,60
480,360,136,136,56
480,360,137,137,52
480,360,142,142,52
480,360,141,141,49
480,360,147,147,47
480,360,148,148,45
480,360,155,155,41
480,360,165,165,44
480,360,163,163,48
480,360,182,182,37
480,360,179,179,48
480,360,184,184,38
480,360,197,197,41
480,360,197,197,45
480,360,217,217,41
480,360,222,222,37
480,360,207,207,34
480,360,196,196,32
480,360,189,189,44
480,360,193,193,49
480,360,210,210,43
480,360,220,220,27
480,360,232,232,26
480,360,267,267,23
480,360,270,270,22
480,360,275,275,20
480,360,290,290,19
480,360,292,292,17
480,360,295,295,16
480,360,295,295,15
480,360,301,301,14
480,360,318,318,12
480,360,324,324,10
480,360,328,328,10
480,360,349,349,10
480,360,328,328,10
480,360,248,248,36
480,360,246,246,34
480,360,247,247,35
480,360,239,239,32
480,360,209,209,34
480,360,187,187,32
480,360,211,211,32
480,360,208,208,31
480,360,248,248,32
480,360,271,271,50
480,360,267,267,45
480,360,283,283,51
480,360,275,275,72
480,360,288,288,56
480,360,284,284,59
480,360,288,288,62
480,360,221,221,64
480,360,177,177,64
480,360,163,163,65
480,360,151,151,68
480,360,142,142,68
480,360,141,141,69
480,360,137,137,71
480,360,136,136,73
480,360,131,131,81
480,360,131,131,78
480,360,130,130,79
480,360,126,126,77
480,360,124,124,84
480,360,117,117,85
480,360,104,104,86
480,360,97,97,91
480,360,97,97,88
480,360,97,97,89
480,360,94,94,0
480,360,93,93,0
480,360,88,88,95
480,360,92,92,91
480,360,89,89,93
480,360,84,84,94
480,360,84,84,97
480,360,83,83,96
480,360,86,86,96
480,360,83,83,99
480,360,88,88,98
480,360,89,89,99
480,360,88,88,101
480,360,93,93,107
480,360,88,88,99
480,360,90,90,109
480,360,80,80,108
480,360,80,80,95
480,360,76,76,98
480,360,76,76,98
480,360,73,73,117
480,360,73,73,116
480,360,72,72,118
480,360,73,73,120
480,360,71,71,121
480,360,70,70,122
480,360,66,66,123
480,360,67,67,122
480,360,69,69,121
480,360,67,67,129
480,360,66,66,129
480,360,66,66,113
480,360,65,65,122
480,360,64,64,120
480,360,65,65,128
480,360,63,63,124
480,360,64,64,136
480,360,63,63,134
480,360,61,61,135
480,360,62,62,136
480,360,61,61,142
480,360,60,60,141
480,360,60,60,142
480,360,59,59,144
480,360,57,57,143
480,360,58,58,140
480,360,58,58,151
480,360,56,56,153
480,360,55,55,152
480,360,56,56,152
480,360,54,54,159
480,360,53,53,153
480,360,54,54,154
480,360,53,53,153
480,360,52,52,155
480,360,51,51,153
480,360,51,51,153
480,360,52,52,155
480,360,52,52,155
480,360,51,51,151
480,360,45,45,160
480,360,43,43,165
480,360,40,40,170
480,360,38,38,180
480,360,37,37,182
480,360,36,36,185
480,360,30,30,190
480,360,52,52,149
480,360,52,52,145
480,360,51,51,143
480,360,52,52,144
480,360,53,53,162
480,360,53,53,140
480,360,54,54,141
480,360,54,54,141
480,360,55,55,142
480,360,55,55,135
480,360,55,55,136
480,360,56,56,132
480,360,56,56,130
480,360,56,56,138
480,360,56,56,138
480,360,58,58,123
480,360,57,57,122
480,360,60,60,123
480,360,61,61,121
480,360,63,63,122
480,360,61,61,117
480,360,63,63,112
480,360,65,65,112
480,360,66,66,112
480,360,65,65,109
480,360,66,66,104
480,360,65,65,103
480,360,71,71,101
480,360,70,70,98
480,360,77,77,97
480,360,80,80,96
480,360,81,81,94
480,360,85,85,93
480,360,88,88,98
480,360,89,89,98
480,360,93,93,98
480,360,92,92,97
